node	expansions	synonyms	usage_notes
si457	progressive; cross-cutting Subject Index term related to: Progressive Present, Progressive (Descriptive) Imperfect, Present Imperative: Ingressive-Progressive		type=concept; source=subject_index; axis weights: morphology:1.00, clause:1.00, syntax:0.80
si458	resultative; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: morphology:0.35
si459	simple occurrence; cross-cutting Subject Index term related to: Nominative in Simple Apposition, Simple Address, Genitive in Simple Apposition, Dative in Simple Apposition		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si460	cases; cross-cutting Subject Index term related to: Nominative, Vocative, Genitive, Dative	case system; five-case system; eight-case system	type=concept; source=subject_index; axis weights: morphology:0.50, syntax:0.40
si461	five-case system; cross-cutting Subject Index term related to: ὃς Unusual Uses: Case		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si462	eight-case system; cross-cutting Subject Index term related to: ὃς Unusual Uses: Case		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si463	oblique; cross-cutting Subject Index term related to: Nominative in Apposition to Oblique Cases, Oblique Cases: Normal Use (Anaphoric), Oblique Cases: Possessive, Oblique Cases: Reflexive		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si464	moods; cross-cutting Subject Index term related to: Indicative Mood, Subjunctive Mood, Optative Mood, Imperative Mood	mood system	type=concept; source=subject_index; axis weights: morphology:0.50, syntax:0.40, clause:0.30
si465	questions; cross-cutting Subject Index term related to: Subjunctive in Indirect Questions, Deliberative Subjunctive, Interrogative Indicative, Interrogative Pronouns	interrogatives; question types	type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si466	conditional; cross-cutting Subject Index term related to: Conditional		type=concept; source=subject_index; axis weights: clause:1.00, discourse:0.80, morphology:0.70, syntax:0.56
si467	deliberative; cross-cutting Subject Index term related to: Deliberative Subjunctive, Deliberative Future		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si468	direct; cross-cutting Subject Index term related to: Dative Direct Object, Accusative Direct Object, Direct Middle, Direct Object		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.42
si469	future tense; cross-cutting Subject Index term related to: Predictive Future, Imperatival Future, Deliberative Future, Gnomic Future		type=concept; source=subject_index; axis weights: morphology:1.00, clause:1.00, syntax:0.80
si470	indirect; cross-cutting Subject Index term related to: Dative Indirect Object, Indirect Middle, Indirect Discourse, Subjunctive in Indirect Questions		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80, discourse:0.70, clause:0.60
si471	indicative; cross-cutting Subject Index term related to: Indicative		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si472	interrogative; cross-cutting Subject Index term related to: Interrogative Pronouns, Interrogative Indicative		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.42
si473	rhetorical; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: morphology:0.70, syntax:0.56, clause:0.42
si474	subjunctive; cross-cutting Subject Index term related to: Deliberative Subjunctive, Hortatory Subjunctive, Emphatic Negation Subjunctive, Prohibitive Subjunctive		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.70
si475	recitative ὅτι see ὅτι: recitative redundancy; cross-cutting Subject Index term related to: Nominative Uses: Redundancy		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80, discourse:0.70, clause:0.42
si476	subject; cross-cutting Subject Index term related to: Subject, Subject, Subject, Subject	grammatical subject (general)	type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si477	compound; cross-cutting Subject Index term related to: Compound Subject, Singular Verb		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.70, clause:0.42
si478	focus; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: morphology:0.70, syntax:0.56, clause:0.42
si479	impersonal; cross-cutting Subject Index term related to: With & Without Agency Expressed: Impersonal Means		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.42
si480	personal; cross-cutting Subject Index term related to: Personal Pronoun, Personal Pronouns, Regular Uses: For Personal Pronouns, Personal Pronoun in Genitive		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.42
si481	tense; cross-cutting Subject Index term related to: Present Tense, Imperfect Tense, Aorist Tense, Future Tense	tense system; time of action	type=concept; source=subject_index; axis weights: morphology:0.50
si482	see also individual tenses affected; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: morphology:0.35
si483	moods in; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: morphology:0.35
si484	nontemporal view of; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: morphology:0.35
si485	time; cross-cutting Subject Index term related to: Nominative for Time, Genitive of Time, Dative of Time, Time: Antecedent		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si486	and passim unaffected; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: morphology:0.35
si487	TSKS see Granville Sharp construction; cross-cutting Subject Index term related to: Complement in Object-Complement Construction, Genitive Construction (Apollonius' Corollary), Anarthrous Adjective-Noun Construction, Anarthrous Noun-Adjective Construction		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si488	voice; cross-cutting Subject Index term related to: Active Voice, Middle Voice, Passive Voice	voice system	type=concept; source=subject_index; axis weights: morphology:0.50, syntax:0.40
si489	adverb; cross-cutting Subject Index term related to: Linguistic / background topics outside Wallace's case-mood-tense structure	adverbial modifier	type=concept; source=subject_index; axis weights: discourse:0.50, morphology:0.30
si490	(with) article; cross-cutting Subject Index term related to: Individualizing Article: Simple Identification, Absence of the Article, Special Uses/Non-Uses of the Article, Article with Multiple Substantives Connected by Kai (Sharp's Rule & related constructions)		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80, discourse:0.35
si491	"(with) genitive; cross-cutting Subject Index term related to: Descriptive Genitive, Possessive Genitive, Genitive of Relationship, Partitive Genitive (""Wholative"")"		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80, discourse:0.35
si492	comparative; cross-cutting Subject Index term related to: Comparative (Manner)		type=concept; source=subject_index; axis weights: clause:1.00, discourse:0.80, morphology:0.21
si493	relative; cross-cutting Subject Index term related to: Relative Pronoun, Relative Pronouns, Subjunctive in Indefinite Relative Clause		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.70, discourse:0.35
si494	temporal; cross-cutting Subject Index term related to: Temporal, Temporal		type=concept; source=subject_index; axis weights: morphology:1.00, clause:1.00, discourse:0.80, syntax:0.80
si495	discourse; cross-cutting Subject Index term related to: Direct Discourse, Indirect Discourse, Present Retained in Indirect Discourse, Imperfect Retained in Indirect Discourse	direct/indirect discourse; reported speech	type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80, discourse:0.70, clause:0.60
si496	direct; cross-cutting Subject Index term related to: Dative Direct Object, Accusative Direct Object, Direct Middle, Direct Object		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80, discourse:0.49, clause:0.42
si497	indirect; cross-cutting Subject Index term related to: Dative Indirect Object, Indirect Middle, Indirect Discourse, Subjunctive in Indirect Questions		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80, discourse:0.70, clause:0.60
si498	gender; cross-cutting Subject Index term related to: ὃς Unusual Uses: Natural vs. Grammatical Gender	grammatical gender	type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si499	(with) pronouns; cross-cutting Subject Index term related to: With Possessive Pronouns, Personal Pronouns, Demonstrative Pronouns, Regular Uses: For Personal Pronouns		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si500	grammar; cross-cutting Subject Index term related to: Linguistic / background topics outside Wallace's case-mood-tense structure	grammatical theory	type=concept; source=subject_index; axis weights: discourse:0.50, morphology:0.30
si501	descriptive; cross-cutting Subject Index term related to: Descriptive Genitive		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80, discourse:0.35
si502	prescriptive; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: discourse:0.35, morphology:0.21
si503	transformational; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: discourse:0.35, morphology:0.21
si504	neuter gender; cross-cutting Subject Index term related to: ὃς Unusual Uses: Natural vs. Grammatical Gender, Neuter Plural Subject, Singular Verb	neuter	type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si505	accusative; cross-cutting Subject Index term related to: Accusative Direct Object, Double Accusative, Cognate Accusative, Predicate Accusative		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si506	nominative; cross-cutting Subject Index term related to: Predicate Nominative, Nominative in Simple Apposition, Nominative Absolute, Parenthetic Nominative		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si507	singular; cross-cutting Subject Index term related to: Neuter Plural Subject, Singular Verb, Collective Singular Subject, Plural Verb, Compound Subject, Singular Verb		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.70
si508	plural; cross-cutting Subject Index term related to: First Plural Constructions, Neuter Plural Subject, Singular Verb, Collective Singular Subject, Plural Verb, Indefinite Plural		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si509	noun; cross-cutting Subject Index term related to: Relation of Adjective to Noun When Article is Present, Anarthrous Adjective-Noun Construction, Anarthrous Noun-Adjective Construction	substantive	type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si510	abstract; cross-cutting Subject Index term related to: Abstract		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si511	adjectival; cross-cutting Subject Index term related to: Adjectival, Adjectival		type=concept; source=subject_index; axis weights: morphology:1.00, clause:1.00, syntax:0.80
si512	anarthrous; cross-cutting Subject Index term related to: Anarthrous Pre-Verbal Predicate Nominatives (involving Colwell's Rule), Anarthrous Adjective-Noun Construction, Anarthrous Noun-Adjective Construction		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si513	articular; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: morphology:0.70, syntax:0.56
si514	concrete; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: morphology:0.70, syntax:0.56
si515	definite; cross-cutting Subject Index term related to: Definite		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si516	generic; cross-cutting Subject Index term related to: Generic (Categorical)		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si517	impersonal; cross-cutting Subject Index term related to: With & Without Agency Expressed: Impersonal Means		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si518	indeclinable; cross-cutting Subject Index term related to: With Indeclinable Nouns		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si519	indefinite; cross-cutting Subject Index term related to: Indefinite		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si520	"monadic; cross-cutting Subject Index term related to: Monadic (""One of a Kind"")"		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si521	nominal; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: morphology:0.70, syntax:0.56
si522	par excellence; cross-cutting Subject Index term related to: Par Excellence		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si523	personal; cross-cutting Subject Index term related to: Personal Pronoun, Personal Pronouns, Regular Uses: For Personal Pronouns, Personal Pronoun in Genitive		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si524	proper; cross-cutting Subject Index term related to: Proper Names, Direct Object Proper, Adjectival Proper		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si525	qualitative; cross-cutting Subject Index term related to: Qualitative		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si526	verbal; cross-cutting Subject Index term related to: Anarthrous Pre-Verbal Predicate Nominatives (involving Colwell's Rule), Verbal Participles: Dependent Verbal, Verbal Participles: Independent Verbal		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si527	sentence; cross-cutting Subject Index term related to: Linguistic / background topics outside Wallace's case-mood-tense structure	sentence structure	type=concept; source=subject_index; axis weights: discourse:0.50, morphology:0.30
si528	complex; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: discourse:0.35, morphology:0.21
si529	compound; cross-cutting Subject Index term related to: Compound Subject, Singular Verb		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.70, discourse:0.35
si530	passive transform; cross-cutting Subject Index term related to: Passive Constructions, Simple Passive, Causative/Permissive Passive, Deponent Passive		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80, discourse:0.35
si531	structure; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: discourse:0.35, morphology:0.21
si532	types; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: discourse:0.35, morphology:0.21
si533	style; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: discourse:0.35, morphology:0.21
si534	verb; cross-cutting Subject Index term related to: Neuter Plural Subject, Singular Verb, Collective Singular Subject, Plural Verb, Compound Subject, Singular Verb	verb forms (general)	type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.70
si535	augment; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: morphology:0.70, syntax:0.49
si536	(of) communication; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: morphology:0.70, syntax:0.49
si537	copula see verb: equative (of) desiring; cross-cutting Subject Index term related to: Neuter Plural Subject, Singular Verb, Collective Singular Subject, Plural Verb, Compound Subject, Singular Verb		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.70
si538	equative; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: morphology:0.70, syntax:0.49
si539	(of) exhorting; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: morphology:0.70, syntax:0.49
si540	(of) fearing; cross-cutting Subject Index term related to: Subjunctive with Verbs of Fearing		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si541	(of) filling; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: morphology:0.70, syntax:0.49
si542	impersonal; cross-cutting Subject Index term related to: With & Without Agency Expressed: Impersonal Means		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si543	intransitive; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: morphology:0.70, syntax:0.49
si544	(of) perception; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: morphology:0.70, syntax:0.49
si545	plural; cross-cutting Subject Index term related to: First Plural Constructions, Neuter Plural Subject, Singular Verb, Collective Singular Subject, Plural Verb, Indefinite Plural		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si546	singular; cross-cutting Subject Index term related to: Neuter Plural Subject, Singular Verb, Collective Singular Subject, Plural Verb, Compound Subject, Singular Verb		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.70
si547	(of) speaking; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: morphology:0.70, syntax:0.49
si548	stative; cross-cutting Subject Index term related to: Stative Active		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si549	transitive; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: morphology:0.70, syntax:0.49
si550	Apocalypse, grammar of; cross-cutting Subject Index term related to: Linguistic / background topics outside Wallace's case-mood-tense structure		type=concept; source=subject_index; axis weights: discourse:0.50, morphology:0.30
si551	Apollonius' canon; cross-cutting Subject Index term related to: Genitive		type=concept; source=subject_index; axis weights: morphology:0.50, syntax:0.40, discourse:0.35
si552	Aktionsart; cross-cutting Subject Index term related to: Linguistic / background topics outside Wallace's case-mood-tense structure		type=concept; source=subject_index; axis weights: discourse:0.50, morphology:0.30
si553	anacoluthon; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: discourse:0.35, morphology:0.21
si554	anaphora; cross-cutting Subject Index term related to: Linguistic / background topics outside Wallace's case-mood-tense structure		type=concept; source=subject_index; axis weights: discourse:0.50, morphology:0.30
si555	antecedent; cross-cutting Subject Index term related to: Unusual Uses: Conceptual Antecedent/Postcedent, ὃς Unusual Uses: Antecedent Complexities, ὃς Unusual Uses: Omission of Antecedent, Time: Antecedent		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si556	apposition; cross-cutting Subject Index term related to: Apposition, Apposition, Apposition		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si557	asyndeton; cross-cutting Subject Index term related to: Linguistic / background topics outside Wallace's case-mood-tense structure		type=concept; source=subject_index; axis weights: discourse:0.50, morphology:0.30
si558	cause/causality; cross-cutting Subject Index term related to: Dative of Cause, Cause, Cause, Cause-Effect		type=concept; source=subject_index; axis weights: morphology:1.00, clause:1.00, syntax:0.80
si559	constructio ad sensum; cross-cutting Subject Index term related to: Unusual Uses: Constructio ad Sensum (Gender, Number)		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si560	contrast; cross-cutting Subject Index term related to: Linguistic / background topics outside Wallace's case-mood-tense structure		type=concept; source=subject_index; axis weights: discourse:0.50, morphology:0.30
si561	convertible proposition; cross-cutting Subject Index term related to: Linguistic / background topics outside Wallace's case-mood-tense structure		type=concept; source=subject_index; axis weights: discourse:0.50, morphology:0.30
si562	direct object; cross-cutting Subject Index term related to: Direct Object, Direct Object, Direct Object		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si563	discourse analysis; cross-cutting Subject Index term related to: Direct Discourse, Indirect Discourse, Present Retained in Indirect Discourse, Imperfect Retained in Indirect Discourse		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80, discourse:0.70, clause:0.60
si564	imperfective; cross-cutting Subject Index term related to: Linguistic / background topics outside Wallace's case-mood-tense structure		type=concept; source=subject_index; axis weights: discourse:0.50, morphology:0.30
si565	papyri; cross-cutting Subject Index term related to: Linguistic / background topics outside Wallace's case-mood-tense structure		type=concept; source=subject_index; axis weights: discourse:0.50, morphology:0.30
si566	paragraph; cross-cutting Subject Index term related to: Linguistic / background topics outside Wallace's case-mood-tense structure		type=concept; source=subject_index; axis weights: discourse:0.50, morphology:0.30
si567	parataxis; cross-cutting Subject Index term related to: Linguistic / background topics outside Wallace's case-mood-tense structure		type=concept; source=subject_index; axis weights: discourse:0.50, morphology:0.30
si568	poetry; cross-cutting Subject Index term related to: Linguistic / background topics outside Wallace's case-mood-tense structure		type=concept; source=subject_index; axis weights: discourse:0.50, morphology:0.30
si569	position; cross-cutting Subject Index term related to: Linguistic / background topics outside Wallace's case-mood-tense structure		type=concept; source=subject_index; axis weights: discourse:0.50, morphology:0.30
si570	predicate; cross-cutting Subject Index term related to: Predicate		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60, discourse:0.35
si571	possession; cross-cutting Subject Index term related to: Dative of Possession		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si572	postcedent; cross-cutting Subject Index term related to: Unusual Uses: Conceptual Antecedent/Postcedent		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si573	purpose; cross-cutting Subject Index term related to: Purpose, Purpose, Purpose, Purpose		type=concept; source=subject_index; axis weights: morphology:1.00, clause:1.00, syntax:0.80, discourse:0.80
si574	speech act theory; cross-cutting Subject Index term related to: Linguistic / background topics outside Wallace's case-mood-tense structure		type=concept; source=subject_index; axis weights: discourse:0.50, morphology:0.30
si575	subset proposition; cross-cutting Subject Index term related to: Linguistic / background topics outside Wallace's case-mood-tense structure		type=concept; source=subject_index; axis weights: discourse:0.50, morphology:0.30
si576	verbless constructions; cross-cutting Subject Index term related to: First Plural Constructions, Passive Constructions		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
cs255	Indicative with ὅτι (Indicative Mood > Indicative with ὅτι)	hoti clause; content clause; ὅτι clause; causal hoti; epexegetical hoti; ὅτι	type=construction; parent: Indicative Mood; source=merged; axis weights: morphology:1.00, clause:1.00, syntax:0.80
cs270	ἵνα + Subjunctive (Subjunctive Mood > ἵνα + Subjunctive)	hina clause; purpose clause; result clause; telic clause; final clause; ἵνα clause; ἵνα	type=construction; parent: Subjunctive Mood; source=merged; axis weights: morphology:1.00, clause:1.00, syntax:0.80
cs1	Subject (Nominative > Subject)	grammatical subject	type=node; parent: Nominative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs10	Nominative of Appellation (Nominative > Nominative of Appellation)		type=node; parent: Nominative; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs100	Personal Pronoun (Article > As a Pronoun > Personal Pronoun)		type=node; parent: As a Pronoun; source=merged; axis weights: morphology:1.00, syntax:0.80
cs101	Alternative Pronoun (Article > As a Pronoun > Alternative Pronoun)		type=node; parent: As a Pronoun; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs102	Relative Pronoun (Article > As a Pronoun > Relative Pronoun)		type=node; parent: As a Pronoun; source=merged; axis weights: morphology:1.00, syntax:0.80
cs103	Possessive Pronoun (Article > As a Pronoun > Possessive Pronoun)		type=node; parent: As a Pronoun; source=merged; axis weights: morphology:1.00, syntax:0.80
cs104	With Substantives (Article > With Substantives)		type=node; parent: Article; source=merged; axis weights: morphology:1.00, syntax:0.80
cs105	Individualizing Article: Simple Identification (Article > With Substantives > Individualizing Article: Simple Identification)		type=node; parent: With Substantives; source=merged; axis weights: morphology:1.00, syntax:0.80
cs106	Anaphoric (Previous Reference) (Article > With Substantives > Anaphoric (Previous Reference))		type=node; parent: With Substantives; source=merged; axis weights: morphology:1.00, syntax:0.80
cs107	Kataphoric (Following Reference) (Article > With Substantives > Kataphoric (Following Reference))		type=node; parent: With Substantives; source=merged; axis weights: morphology:1.00, syntax:0.80
cs108	"Deictic (""Pointing"") (Article > With Substantives > Deictic (""Pointing""))"		type=node; parent: With Substantives; source=merged; axis weights: morphology:1.00, syntax:0.80
cs109	Par Excellence (Article > With Substantives > Par Excellence)		type=node; parent: With Substantives; source=merged; axis weights: morphology:1.00, syntax:0.80
cs11	Nominative in Apposition to Oblique Cases (Nominative > Nominative in Apposition to Oblique Cases)		type=node; parent: Nominative; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs110	"Monadic (""One of a Kind"") (Article > With Substantives > Monadic (""One of a Kind""))"		type=node; parent: With Substantives; source=merged; axis weights: morphology:1.00, syntax:0.80
cs111	"Well-known (""Familiar"") (Article > With Substantives > Well-known (""Familiar""))"		type=node; parent: With Substantives; source=merged; axis weights: morphology:1.00, syntax:0.80
cs112	Abstract (Article > With Substantives > Abstract)		type=node; parent: With Substantives; source=merged; axis weights: morphology:1.00, syntax:0.80
cs113	Generic (Categorical) (Article > With Substantives > Generic (Categorical))		type=node; parent: With Substantives; source=merged; axis weights: morphology:1.00, syntax:0.80
cs114	As a Substantiver of (Article > As a Substantiver of)		type=node; parent: Article; source=merged; axis weights: morphology:1.00, syntax:0.80
cs115	Adverbs (Article > As a Substantiver of > Adverbs)		type=node; parent: As a Substantiver of; source=merged; axis weights: morphology:1.00, syntax:0.80
cs116	Adjectives (Article > As a Substantiver of > Adjectives)	adjective; adjectives	type=node; parent: As a Substantiver of; source=merged; axis weights: morphology:1.00, syntax:0.80
cs117	Participles (Article > As a Substantiver of > Participles)		type=node; parent: As a Substantiver of; source=merged; axis weights: morphology:1.00, syntax:0.80
cs118	Infinitives (Article > As a Substantiver of > Infinitives)		type=node; parent: As a Substantiver of; source=merged; axis weights: morphology:1.00, syntax:0.80
cs119	Genitive Word or Phrase (Article > As a Substantiver of > Genitive Word or Phrase)		type=node; parent: As a Substantiver of; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs12	Nominative After Preposition (Nominative > Nominative After Preposition)		type=node; parent: Nominative; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs120	Prepositional Phrase (Article > As a Substantiver of > Prepositional Phrase)		type=node; parent: As a Substantiver of; source=merged; axis weights: morphology:1.00, syntax:0.80
cs121	Particles (Article > As a Substantiver of > Particles)		type=node; parent: As a Substantiver of; source=merged; axis weights: morphology:1.00, syntax:0.80
cs122	Finite Verbs (Article > As a Substantiver of > Finite Verbs)		type=node; parent: As a Substantiver of; source=merged; axis weights: morphology:1.00, syntax:0.80
cs123	Clauses, Statements, & Quotations (Article > As a Substantiver of > Clauses, Statements, & Quotations)		type=node; parent: As a Substantiver of; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.70
cs124	As a Function Marker (Article > As a Function Marker)		type=node; parent: Article; source=merged; axis weights: morphology:1.00, syntax:0.80
cs125	Denote Adjectival Positions (Article > As a Function Marker > Denote Adjectival Positions)		type=node; parent: As a Function Marker; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs126	With Possessive Pronouns (Article > As a Function Marker > With Possessive Pronouns)		type=node; parent: As a Function Marker; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
